courier_key,courier_id,courier_name,gender,phone,branch_id,vehicle_type,hire_date,employee_status,is_active
58,KR-00058,Paramita Fujiati,Laki-laki,085772464822,BR-017,Mobil Van,2026-02-14,Kontrak,1
59,KR-00059,Baktiadi Prasasta,Laki-laki,085723042145,BR-007,Motor,2025-01-23,Kontrak,1
60,KR-00060,Michelle Firmansyah,Laki-laki,085735179892,BR-017,Motor,2024-03-31,Tetap,1
61,KR-00061,Tgk. Nadine Kuswoyo,Laki-laki,085729525404,BR-001,Motor,2024-12-10,Kontrak,1
62,KR-00062,Parman Rahmawati,Perempuan,085740363614,BR-003,Mobil Van,2026-01-21,Tetap,1
63,KR-00063,Eva Hidayat,Perempuan,085728357334,BR-006,Motor,2023-12-29,Kontrak,1
64,KR-00064,Belinda Salahudin,Laki-laki,085782515810,BR-017,Motor,2024-11-20,Kontrak,1
65,KR-00065,"Cut Citra Putra, M.Ak",Perempuan,085792853015,BR-015,Mobil Van,2024-08-22,Tetap,1
66,KR-00066,"Ir. Lega Hidayat, M.Ak",Laki-laki,085790112118,BR-004,Motor,2024-04-01,Kontrak,1
67,KR-00067,Oni Zulkarnain,Perempuan,085712302127,BR-007,Motor,2025-07-26,Freelance,1
68,KR-00068,Gawati Wacana,Laki-laki,085722149792,BR-020,Motor,2023-10-14,Tetap,1
69,KR-00069,"Tgk. Restu Prabowo, S.I.Kom",Laki-laki,085746148580,BR-003,Motor,2023-09-15,Kontrak,1
70,KR-00070,Wardi Pertiwi,Perempuan,085794855221,BR-006,Motor,2025-05-17,Kontrak,1
71,KR-00071,Ian Pratama,Perempuan,085734349374,BR-009,Mobil Van,2025-10-29,Tetap,1
72,KR-00072,Wirda Halim,Perempuan,085735626513,BR-004,Mobil Van,2025-12-28,Tetap,1
73,KR-00073,Ami Ardianto,Perempuan,085796142348,BR-012,Sepeda,2024-10-15,Kontrak,1
74,KR-00074,Daliman Melani,Laki-laki,085741707574,BR-016,Mobil Van,2023-11-29,Freelance,1
75,KR-00075,Septi Prasasta,Perempuan,085754189843,BR-008,Mobil Box,2025-03-23,Tetap,1
76,KR-00076,Carla Halim,Perempuan,085732122247,BR-015,Motor,2024-02-13,Tetap,1
77,KR-00077,"Chelsea Haryanti, S.Ked",Laki-laki,085756271290,BR-008,Motor,2024-02-07,Tetap,1
78,KR-00078,Puti Usyi Saefullah,Perempuan,085795111443,BR-006,Motor,2026-03-10,Freelance,1
79,KR-00079,Irfan Utama,Laki-laki,085726603122,BR-003,Mobil Van,2024-03-01,Kontrak,1
80,KR-00080,Niyaga Hasanah,Perempuan,085723122126,BR-008,Mobil Van,2025-04-22,Tetap,1
81,KR-00081,Embuh Puspasari,Perempuan,085776681459,BR-005,Sepeda,2024-03-11,Tetap,1
82,KR-00082,Siti Usamah,Laki-laki,085766145142,BR-019,Motor,2024-12-25,Kontrak,1
83,KR-00083,drg. Maria Mandala,Perempuan,085710289753,BR-014,Mobil Box,2024-11-04,Tetap,1
84,KR-00084,Hani Hariyah,Perempuan,085719030221,BR-008,Motor,2024-01-29,Tetap,1
85,KR-00085,Utama Susanti,Laki-laki,085780439926,BR-018,Mobil Van,2023-11-09,Tetap,1
86,KR-00086,Emas Siregar,Perempuan,085762494375,BR-007,Motor,2026-05-11,Tetap,1
87,KR-00087,H. Yono Hasanah,Perempuan,085742198637,BR-019,Mobil Van,2023-09-28,Kontrak,1
88,KR-00088,"Halima Situmorang, S.IP",Perempuan,085723598740,BR-011,Motor,2025-03-17,Freelance,1
89,KR-00089,"Yuliana Mangunsong, M.M.",Laki-laki,085726174970,BR-006,Motor,2026-03-06,Kontrak,1
90,KR-00090,Hasna Wahyuni,Laki-laki,085713122628,BR-015,Mobil Van,2025-01-17,Kontrak,1
91,KR-00091,Danu Thamrin,Perempuan,085772758469,BR-005,Motor,2023-10-11,Kontrak,1
92,KR-00092,"Hardi Salahudin, S.Pt",Laki-laki,085772643972,BR-011,Mobil Van,2024-06-11,Tetap,1
93,KR-00093,Dr. Ajimat Farida,Laki-laki,085775491466,BR-016,Motor,2024-07-28,Tetap,1
94,KR-00094,"Cut Fitria Dabukke, M.Pd",Perempuan,085752001345,BR-006,Sepeda,2024-05-14,Tetap,1
95,KR-00095,"Taswir Suartini, M.TI.",Laki-laki,085729723732,BR-019,Mobil Van,2024-12-30,Tetap,1
96,KR-00096,Nyana Marpaung,Perempuan,085784055352,BR-011,Motor,2026-04-09,Kontrak,1
97,KR-00097,dr. Shakila Nuraini,Laki-laki,085739511656,BR-017,Motor,2023-07-13,Tetap,1
98,KR-00098,Kamaria Agustina,Laki-laki,085774300603,BR-002,Motor,2026-03-07,Kontrak,1
99,KR-00099,"Puti Tantri Maryadi, S.Farm",Perempuan,085734464627,BR-004,Motor,2025-12-31,Kontrak,1
100,KR-00100,Eka Pradipta,Perempuan,085717933565,BR-012,Motor,2024-01-26,Tetap,1
101,KR-00101,Violet Pradipta,Perempuan,085756527410,BR-004,Mobil Van,2024-01-06,Tetap,1
102,KR-00102,Cut Oliva Hastuti,Perempuan,085766736344,BR-007,Motor,2026-03-06,Kontrak,1
103,KR-00103,"Paris Padmasari, S.Pd",Laki-laki,085790257440,BR-018,Sepeda,2024-04-09,Tetap,1
104,KR-00104,Wisnu Sihotang,Laki-laki,085712217316,BR-001,Motor,2023-10-12,Tetap,1
105,KR-00105,R. Luis Melani,Perempuan,085741196631,BR-010,Mobil Box,2024-11-24,Freelance,1
106,KR-00106,Lanjar Mustofa,Perempuan,085799716918,BR-010,Sepeda,2024-09-01,Tetap,1
107,KR-00107,"Dr. Yance Gunarto, S.Ked",Laki-laki,085751851913,BR-010,Motor,2024-04-10,Freelance,1
108,KR-00108,Genta Budiyanto,Perempuan,085796283533,BR-005,Motor,2025-12-26,Tetap,1
109,KR-00109,Virman Nuraini,Laki-laki,085724422567,BR-013,Motor,2025-12-08,Kontrak,1
110,KR-00110,Marwata Utama,Laki-laki,085745058289,BR-003,Sepeda,2026-06-04,Freelance,1
111,KR-00111,Oskar Saefullah,Laki-laki,085751424231,BR-003,Motor,2026-06-11,Tetap,1
112,KR-00112,Humaira Namaga,Laki-laki,085718213748,BR-007,Motor,2025-05-09,Tetap,1
113,KR-00113,Putri Rahimah,Perempuan,085744548581,BR-013,Motor,2025-05-09,Tetap,1
114,KR-00114,Ika Narpati,Laki-laki,085750315868,BR-012,Sepeda,2025-07-04,Freelance,1
115,KR-00115,Jarwi Rahimah,Laki-laki,085796846556,BR-003,Mobil Van,2025-07-29,Tetap,1
116,KR-00116,Mala Firmansyah,Laki-laki,085744905144,BR-001,Mobil Box,2024-06-25,Tetap,1
117,KR-00117,Langgeng Yolanda,Laki-laki,085789315502,BR-011,Motor,2024-12-13,Tetap,1
118,KR-00118,"Hj. Aurora Damanik, S.I.Kom",Perempuan,085771704123,BR-011,Motor,2024-08-24,Tetap,1
119,KR-00119,Rini Tampubolon,Perempuan,085776775781,BR-015,Motor,2026-04-17,Kontrak,1
120,KR-00120,Bahuwirya Saragih,Perempuan,085770025436,BR-008,Motor,2024-03-15,Kontrak,1
121,KR-00121,Taufik Siregar,Perempuan,085715389504,BR-019,Motor,2024-10-23,Tetap,1
122,KR-00122,T. Asirwada Zulaika,Perempuan,085717962653,BR-015,Motor,2026-01-23,Tetap,1
123,KR-00123,Tgk. Yusuf Manullang,Laki-laki,085721570905,BR-011,Motor,2025-12-19,Freelance,1
124,KR-00124,Ghani Utama,Laki-laki,085754562538,BR-015,Motor,2024-09-20,Tetap,1
125,KR-00125,Hana Nugroho,Perempuan,085788789758,BR-009,Sepeda,2024-10-01,Tetap,1
126,KR-00126,Hj. Ira Hakim,Perempuan,085733529879,BR-019,Motor,2026-03-13,Kontrak,1
127,KR-00127,"Mustofa Permadi, M.Pd",Perempuan,085723550919,BR-012,Motor,2025-02-21,Tetap,1
128,KR-00128,"Zelaya Yolanda, S.Psi",Perempuan,085794480876,BR-011,Mobil Van,2026-02-28,Tetap,1
129,KR-00129,Laras Habibi,Perempuan,085772257442,BR-012,Motor,2024-11-29,Kontrak,1
130,KR-00130,"Sutan Joko Sinaga, M.Pd",Perempuan,085711872430,BR-003,Mobil Box,2025-10-28,Kontrak,1
131,KR-00131,"Virman Nuraini, S.T.",Laki-laki,085792758729,BR-015,Mobil Van,2023-09-22,Tetap,1
132,KR-00132,"Jail Pratiwi, S.Gz",Perempuan,085759374629,BR-014,Motor,2024-08-26,Tetap,1
133,KR-00133,Mariadi Hutasoit,Laki-laki,085771954037,BR-013,Sepeda,2024-03-22,Tetap,1
134,KR-00134,R.M. Wage Utami,Perempuan,085783664843,BR-005,Sepeda,2023-11-22,Kontrak,1
135,KR-00135,"R.A. Jasmin Wasita, S.Gz",Laki-laki,085769952790,BR-007,Motor,2025-05-10,Tetap,1
136,KR-00136,"Sari Purwanti, S.Gz",Laki-laki,085741878430,BR-005,Motor,2024-02-25,Tetap,1
137,KR-00137,Maida Prasetyo,Laki-laki,085737204026,BR-005,Mobil Van,2025-06-27,Tetap,1
138,KR-00138,"Bajragin Farida, S.Kom",Perempuan,085784348270,BR-007,Mobil Box,2025-08-04,Freelance,1
139,KR-00139,"Ir. Rahmi Halim, S.H.",Perempuan,085739618827,BR-013,Motor,2025-08-06,Kontrak,1
140,KR-00140,Shania Pradana,Laki-laki,085787275966,BR-004,Mobil Van,2026-03-10,Tetap,1
141,KR-00141,dr. Sari Prayoga,Perempuan,085738427357,BR-010,Motor,2024-09-27,Tetap,1
142,KR-00142,dr. Rahman Usamah,Perempuan,085720012732,BR-018,Motor,2025-05-05,Kontrak,1
143,KR-00143,Yessi Wahyudin,Perempuan,085735025609,BR-004,Sepeda,2026-05-25,Tetap,1
144,KR-00144,"Padmi Saptono, S.E.I",Laki-laki,085722194412,BR-010,Mobil Van,2024-04-14,Tetap,1
145,KR-00145,Kezia Wahyudin,Perempuan,085790739431,BR-005,Motor,2024-07-04,Tetap,1
146,KR-00146,"Salwa Mandala, S.Kom",Laki-laki,085780065799,BR-006,Mobil Van,2024-01-13,Freelance,1
147,KR-00147,Reza Sihombing,Perempuan,085764858576,BR-014,Mobil Van,2025-12-26,Tetap,1
148,KR-00148,"dr. Naradi Hassanah, S.Pt",Perempuan,085712699337,BR-010,Motor,2024-04-24,Freelance,1
149,KR-00149,Ida Siregar,Laki-laki,085737607753,BR-020,Motor,2026-06-17,Kontrak,1
150,KR-00150,Tantri Purnawati,Perempuan,085753794285,BR-005,Sepeda,2024-04-24,Kontrak,1
